Aderholt, Robert B. | Alabama 4
Higgins, Clay | Louisiana 3
Hill, French | Arkansas 2
Himes, Jim | Connecticut 4
Hinson, Ashley | Iowa 1
Hollingsworth, Trey | Indiana 9
Horsford, Steven | Nevada 4
Houlahan, Chrissy | Pennsylvania 6
Hoyer, Steny H. | Maryland 5
Hudson, Richard | North Carolina 8
Huffman, Jared | California 2
Huizenga, Bill | Michigan 2
