Dell Technologies Inc. | Baseline | 2025 | 89,000,000,000 | 8 | Assumes moderate AI server/storage growth in ISG, PC recovery in CSG, AI server orders ~20% of ISG, margin stable. | https://www.statista.com/statistics/992556/dell-revenue-by-segment/, https://www.stockinsights.ai/us/DELL/earnings-transcript/fy25-q4-43fd
NXP Semiconductors | export_ban | 2025 | 12568500000 | 23.0 | Assumes continued export restrictions, 10% revenue impact, margin pressure. | https://stockanalysis.com/stocks/nxpi/metrics/revenue-by-segment/
NXP Semiconductors | energy+20pct | 2025 | 13965000000 | 25.5 | 20% energy cost increase, margin -1.5pp. | https://stockanalysis.com/stocks/nxpi/metrics/revenue-by-segment/
NXP Semiconductors | baseline | 2026 | 14663250000 | 27.5 | Baseline scenario, 5% revenue growth, margin expansion. | https://stockanalysis.com/stocks/nxpi/metrics/revenue-by-segment/
NXP Semiconductors | export_ban | 2026 | 13196925000 | 23.5 | Export ban, 10% revenue impact, margin pressure. | https://stockanalysis.com/stocks/nxpi/metrics/revenue-by-segment/
NXP Semiconductors | energy+20pct | 2026 | 14663250000 | 26.0 | 20% energy cost increase, margin -1.5pp. | https://stockanalysis.com/stocks/nxpi/metrics/revenue-by-segment/
Soitec | baseline | 2024 | 1200000000 | 23.5 | Baseline scenario assumes stable demand in mobile, automotive, and edge AI substrates; AI exposure via FD-SOI and SmartSiC for edge/cloud and automotive (estimated 10-15% of revenue). | https://www.soitec.com/docs/default-source/financial-reports/2022-2023/en/soitec_fy23-results_ve.pdf, https://www.soitec.com/docs/default-source/financial-reports/2023-2024/en/soitec_half_year_report_eng_fy24-06-1.pdf
Soitec | export_ban | 2024 | 1080000000 | 19.5 | Assumes 10% revenue impact from potential export restrictions to China/Asia and margin compression due to lower utilization. | https://www.soitec.com/docs/default-source/financial-reports/2022-2023/en/soitec_fy23-results_ve.pdf
Soitec | energy+20pct | 2024 | 1200000000 | 22.0 | Assumes 20% increase in energy costs reduces margin by 1.5 percentage points. | https://www.soitec.com/docs/default-source/financial-reports/2022-2023/en/soitec_fy23-results_ve.pdf
Soitec | baseline | 2025 | 1260000000 | 24.0 | Baseline scenario assumes 5% revenue growth, continued demand for edge/auto substrates. | https://www.soitec.com/docs/default-source/financial-reports/2022-2023/en/soitec_fy23-results_ve.pdf
Soitec | export_ban | 2025 | 1134000000 | 20.0 | Assumes continued export restrictions, 10% revenue impact, margin pressure. | https://www.soitec.com/docs/default-source/financial-reports/2022-2023/en/soitec_fy23-results_ve.pdf
Soitec | energy+20pct | 2025 | 1260000000 | 22.5 | 20% energy cost increase, margin -1.5pp. | https://www.soitec.com/docs/default-source/financial-reports/2022-2023/en/soitec_fy23-results_ve.pdf
Soitec | baseline | 2026 | 1323000000 | 24.5 | Baseline scenario, 5% revenue growth, margin expansion. | https://www.soitec.com/docs/default-source/financial-reports/2022-2023/en/soitec_fy23-results_ve.pdf
Soitec | export_ban | 2026 | 1190700000 | 20.5 | Export ban, 10% revenue impact, margin pressure. | https://www.soitec.com/docs/default-source/financial-reports/2022-2023/en/soitec_fy23-results_ve.pdf
Soitec | energy+20pct | 2026 | 1323000000 | 23.0 | 20% energy cost increase, margin -1.5pp. | https://www.soitec.com/docs/default-source/financial-reports/2022-2023/en/soitec_fy23-results_ve.pdf
ASM International | baseline | 2024 | 3150000000 | 27.0 | Baseline scenario assumes strong demand for ALD/epitaxy tools in AI, HBM/DRAM, and advanced foundry; AI exposure via memory and logic/foundry (estimated 30-40% of revenue, top customers: Samsung, SK Hynix, TSMC). | https://www.asm.com/media/3xuppljv/annual-report-2024-asm-final.pdf, https://www.statista.com/statistics/981752/net-sales-of-asm-international/, https://www.statista.com/statistics/1380412/revenue-of-asm-international-by-segment/
ASM International | export_ban | 2024 | 2835000000 | 22.0 | Assumes 10% revenue impact from potential export restrictions to Asia and margin compression due to lower utilization. | https://www.asm.com/media/3xuppljv/annual-report-2024-asm-final.pdf
ASM International | energy+20pct | 2024 | 3150000000 | 25.5 | Assumes 20% increase in energy costs reduces margin by 1.5 percentage points. | https://www.asm.com/media/3xuppljv/annual-report-2024-asm-final.pdf
ASM International | baseline | 2025 | 3307500000 | 27.5 | Baseline scenario assumes 5% revenue growth, continued AI/HBM/DRAM demand. | https://www.asm.com/media/3xuppljv/annual-report-2024-asm-final.pdf
ASM International | export_ban | 2025 | 2976750000 | 22.5 | Assumes continued export restrictions, 10% revenue impact, margin pressure. | https://www.asm.com/media/3xuppljv/annual-report-2024-asm-final.pdf
ASM International | energy+20pct | 2025 | 3307500000 | 26.0 | 20% energy cost increase, margin -1.5pp. | https://www.asm.com/media/3xuppljv/annual-report-2024-asm-final.pdf
ASM International | baseline | 2026 | 3472875000 | 28.0 | Baseline scenario, 5% revenue growth, margin expansion. | https://www.asm.com/media/3xuppljv/annual-report-2024-asm-final.pdf
ASM International | export_ban | 2026 | 3125587500 | 23.0 | Export ban, 10% revenue impact, margin pressure. | https://www.asm.com/media/3xuppljv/annual-report-2024-asm-final.pdf
ASM International | energy+20pct | 2026 | 3472875000 | 26.5 | 20% energy cost increase, margin -1.5pp. | https://www.asm.com/media/3xuppljv/annual-report-2024-asm-final.pdf
Orange S.A. | baseline | 2024 | 48000000000 | 29.5 | Baseline scenario assumes stable telecom, data center, and cloud demand; AI/data center exposure estimated at 10-15% of revenue. Margin based on 2023 EBITDAaL/revenue (13,035/44,122=29.5%). | https://rai.orange.com/en/iar2023/impact-on-target/our-financial-performance/, https://www.statista.com/statistics/1452234/telecom-company-orange-revenue-by-type/, https://www.globenewswire.com/news-release/2024/02/15/2829609/0/en/Press-release-Orange-Financial-results-at-31-December-2023-Lead-the-Future-plan-on-track.html
Orange S.A. | export_ban | 2024 | 48000000000 | 28.0 | Assumes minimal direct export ban impact (low-medium risk per risk matrix), but 1.5pp margin compression from supply chain/tariff disruptions. | https://rai.orange.com/en/iar2023/impact-on-target/our-financial-performance/, europe_risk_matrix.txt
Orange S.A. | energy+20pct | 2024 | 48000000000 | 27.0 | Assumes 20% increase in energy costs reduces margin by 2.5 percentage points (higher sensitivity due to data center/network opex). | https://rai.orange.com/en/iar2023/impact-on-target/our-financial-performance/, europe_risk_matrix.txt
Orange S.A. | baseline | 2025 | 48960000000 | 29.5 | Baseline scenario assumes 2% revenue growth, stable margin. | https://rai.orange.com/en/iar2023/impact-on-target/our-financial-performance/
Orange S.A. | export_ban | 2025 | 48960000000 | 28.0 | Minimal direct export ban impact, 1.5pp margin compression. | europe_risk_matrix.txt
Orange S.A. | energy+20pct | 2025 | 48960000000 | 27.0 | 20% energy cost increase, margin -2.5pp. | europe_risk_matrix.txt
Orange S.A. | baseline | 2026 | 49939200000 | 29.5 | Baseline scenario, 2% revenue growth, stable margin. | https://rai.orange.com/en/iar2023/impact-on-target/our-financial-performance/
Orange S.A. | export_ban | 2026 | 49939200000 | 28.0 | Minimal direct export ban impact, 1.5pp margin compression. | europe_risk_matrix.txt
Orange S.A. | energy+20pct | 2026 | 49939200000 | 27.0 | 20% energy cost increase, margin -2.5pp. | europe_risk_matrix.txt
Infineon Technologies | baseline | 2024 | 16200000000 | 21.0 | Baseline scenario assumes muted demand in 2024, with AI/automotive as bright spots. Revenue in USD (EUR/USD=1.08). Margin based on 2024 segment result margin (20.8%). | https://www.infineon.com/press-release/2024/infxx202411-020, https://www.statista.com/statistics/265015/infineons-global-revenue-since-1999/
Infineon Technologies | export_ban | 2024 | 14580000000 | 17.0 | Assumes 10% revenue impact from China/Asia export restrictions and margin compression due to lower utilization. | https://www.infineon.com/press-release/2024/infxx202411-020, europe_risk_matrix.txt
Infineon Technologies | energy+20pct | 2024 | 16200000000 | 19.5 | Assumes 20% increase in energy costs reduces margin by 1.5 percentage points. | https://www.infineon.com/press-release/2024/infxx202411-020, europe_risk_matrix.txt
Infineon Technologies | baseline | 2025 | 15880000000 | 18.0 | Baseline scenario assumes 2% revenue decline (muted demand), margin in mid-high teens. | https://www.spglobal.com/market-intelligence/en/news-insights/research/2025/08/infineon-set-for-muted-2025-before-rebound-in-2026, https://www.infineon.com/press-release/2025/INFXX202505-098
Infineon Technologies | export_ban | 2025 | 14292000000 | 15.0 | Assumes continued export restrictions, 10% revenue impact, margin pressure. | https://www.spglobal.com/market-intelligence/en/news-insights/research/2025/08/infineon-set-for-muted-2025-before-rebound-in-2026, europe_risk_matrix.txt
Infineon Technologies | energy+20pct | 2025 | 15880000000 | 16.5 | 20% energy cost increase, margin -1.5pp. | https://www.spglobal.com/market-intelligence/en/news-insights/research/2025/08/infineon-set-for-muted-2025-before-rebound-in-2026, europe_risk_matrix.txt
Infineon Technologies | baseline | 2026 | 16770000000 | 20.0 | Baseline scenario, 5.6% revenue growth (recovery), margin recovery to 20%. | https://www.spglobal.com/market-intelligence/en/news-insights/research/2025/08/infineon-set-for-muted-2025-before-rebound-in-2026
Infineon Technologies | export_ban | 2026 | 15100000000 | 16.5 | Export ban, 10% revenue impact, margin pressure. | https://www.spglobal.com/market-intelligence/en/news-insights/research/2025/08/infineon-set-for-muted-2025-before-rebound-in-2026, europe_risk_matrix.txt
Infineon Technologies | energy+20pct | 2026 | 16770000000 | 18.5 | 20% energy cost increase, margin -1.5pp. | https://www.spglobal.com/market-intelligence/en/news-insights/research/2025/08/infineon-set-for-muted-2025-before-rebound-in-2026, europe_risk_matrix.txt
GDS Holdings | Baseline | 2024 | 1400000000 | 7.9 | Baseline scenario, 2023 revenue USD ($1.4B), operating margin 7.9%; AI data center demand, China and Malaysia expansion. | https://companiesmarketcap.com/gds-holdings/revenue/; https://markets.ft.com/data/announce/full?dockey=1330-9079331en-0F0VU2LENOQHG3PHVOENA7JARN
GDS Holdings | Export Ban | 2024 | 1260000000 | 3.0 | Assumes 10% revenue loss from export restrictions to US/EU, margin compression due to fixed costs and supply chain disruption. | https://companiesmarketcap.com/gds-holdings/revenue/; BIS export controls 2024
GDS Holdings | +20% Energy Price | 2024 | 1372000000 | 5.9 | Assumes 2% revenue impact from cost pass-through, 2pp margin hit from higher energy costs in data center operations. | https://companiesmarketcap.com/gds-holdings/revenue/; IEA Asia energy outlook 2024
GDS Holdings | Baseline | 2025 | 1540000000 | 8.2 | Assumes 10% YoY growth as AI data center demand recovers, margin improves. | https://companiesmarketcap.com/gds-holdings/revenue/
GDS Holdings | Export Ban | 2025 | 1386000000 | 3.3 | Export restrictions persist, partial offset by Asia demand, margin still below baseline. | https://companiesmarketcap.com/gds-holdings/revenue/; BIS export controls 2024
GDS Holdings | +20% Energy Price | 2025 | 1509200000 | 6.2 | 2% revenue impact, 2pp margin hit from sustained higher energy costs. | https://companiesmarketcap.com/gds-holdings/revenue/; IEA Asia energy outlook 2024
GDS Holdings | Baseline | 2026 | 1694000000 | 8.5 | Assumes 10% YoY growth, margin normalization as market recovers. | https://companiesmarketcap.com/gds-holdings/revenue/
GDS Holdings | Export Ban | 2026 | 1524600000 | 3.6 | Export ban persists, but company adapts supply chain, margin recovers partially. | https://companiesmarketcap.com/gds-holdings/revenue/; BIS export controls 2024
GDS Holdings | +20% Energy Price | 2026 | 1660120000 | 6.5 | Energy cost impact persists, but margin recovers with scale and efficiency. | https://companiesmarketcap.com/gds-holdings/revenue/; IEA Asia energy outlook 2024
