Keysight Technologies | Baseline | 2025 | 5,200,000,000 | 17 | CSG (AI data center, hyperscaler, 6G/quantum R&D) rebound, EISG stable, margin recovery as tariff mitigation progresses, recurring revenue 32%. | https://investor.keysight.com/investor-news-and-events/financial-press-releases/press-release-details/2024/Keysight-Technologies-Reports-Fourth-Quarter-and-Fiscal-Year-2024-Results/default.aspx, https://www.ainvest.com/news/keysight-technologies-strategic-play-ai-driven-infrastructure-revolution-2508/, https://www.annualreports.com/HostedData/AnnualReports/PDF/NYSE_KEYS_2024.pdf
Teradyne | Baseline | 2027 | 3,500,000,000 | 24 | AI/compute test, Robotics/automation, margin up as mix shifts to higher-value test. | https://www.ainvest.com/news/teradyne-ai-driven-growth-market-volatility-navigating-semiconductor-testing-sector-high-stakes-landscape-2507/
Teradyne | Export Ban | 2025 | 2,650,000,000 | 17 | US export controls on advanced test to China (15% rev at risk), $300M+ loss, margin -5pts, partial offset via US/EU/Asia. | https://dcfmodeling.com/products/ter-pestel-analysis, https://www.sec.gov/Archives/edgar/data/97210/000095017025046348/ter-ars-2025.pdf
Teradyne | Export Ban | 2026 | 2,800,000,000 | 18 | Ongoing export controls, China/AI test sales capped, margin pressure persists. | https://dcfmodeling.com/products/ter-pestel-analysis
Teradyne | Export Ban | 2027 | 3,000,000,000 | 19 | Some adaptation, but export controls cap growth, margin recovers slightly as mix shifts to US/EU/AI. | https://dcfmodeling.com/products/ter-pestel-analysis
Teradyne | +20% Energy Price | 2025 | 2,900,000,000 | 21 | Energy cost exposure moderate (US/EU/Asia ops, R&D, manufacturing), margin -1pt, mitigation via efficiency/renewables. | https://www.ainvest.com/news/teradyne-ai-driven-growth-market-volatility-navigating-semiconductor-testing-sector-high-stakes-landscape-2507/
Teradyne | +20% Energy Price | 2026 | 3,150,000,000 | 22 | Energy cost pressure persists, but efficiency gains and pass-through to customers limit impact. | https://www.ainvest.com/news/teradyne-ai-driven-growth-market-volatility-navigating-semiconductor-testing-sector-high-stakes-landscape-2507/
Teradyne | +20% Energy Price | 2027 | 3,450,000,000 | 23 | Ongoing high energy prices, but margin impact limited by efficiency and scale. | https://www.ainvest.com/news/teradyne-ai-driven-growth-market-volatility-navigating-semiconductor-testing-sector-high-stakes-landscape-2507/
Teledyne Technologies | Baseline | 2025 | 5,800,000,000 | 18 | Digital Imaging (54%), Instrumentation (24%), Aerospace/Defense Electronics (14%), Engineered Systems (8%). AI exposure moderate: imaging/infrared, marine/autonomous, defense. Margin up on scale, defense/energy demand. | https://www.teledyne.com/en-us/investors/Documents/2024%20Teledyne%20Annual%20Report.pdf, https://intellectia.ai/earnings/-surging-sales-and-strategic-acquisitions-propel-teledyne-technologies-impressive-first-quarter-teledyne-technologies-inc-earnings-report
Teledyne Technologies | Baseline | 2026 | 6,100,000,000 | 19 | Imaging/infrared, marine, defense, and energy drive growth. AI exposure up as imaging/automation expands. Margin up on mix/scale. | https://www.teledyne.com/en-us/investors/Documents/2024%20Teledyne%20Annual%20Report.pdf
Teledyne Technologies | Baseline | 2027 | 6,400,000,000 | 20 | Imaging, marine, defense, and automation, margin up as mix shifts to higher-value imaging/AI/defense. | https://www.teledyne.com/en-us/investors/Documents/2024%20Teledyne%20Annual%20Report.pdf
Teledyne Technologies | Export Ban | 2025 | 5,600,000,000 | 15 | US/EU export controls on imaging/infrared to China/Russia, $200M+ revenue loss, margin -3pts, partial offset via US/EU/defense. | https://violationtracker.goodjobsfirst.org/parent/teledyne-technologies, https://www.teledyne.com/en-us/investors/Documents/2024%20Teledyne%20Annual%20Report.pdf
Teledyne Technologies | Export Ban | 2026 | 5,900,000,000 | 16 | Ongoing export controls, China/defense sales capped, margin pressure persists. | https://violationtracker.goodjobsfirst.org/parent/teledyne-technologies
Teledyne Technologies | Export Ban | 2027 | 6,200,000,000 | 17 | Some adaptation, but export controls cap growth, margin recovers slightly as mix shifts to US/EU/defense. | https://violationtracker.goodjobsfirst.org/parent/teledyne-technologies
Teledyne Technologies | +20% Energy Price | 2025 | 5,750,000,000 | 17 | Energy cost exposure moderate (US/EU ops, R&D, manufacturing), margin -1pt, mitigation via efficiency/renewables. | https://www.ainvest.com/news/teledyne-technologies-strategic-resilience-capitalizing-defense-energy-markets-tariff-uncertainty-2507/
Teledyne Technologies | +20% Energy Price | 2026 | 6,050,000,000 | 18 | Energy cost pressure persists, but efficiency gains and pass-through to customers limit impact. | https://www.ainvest.com/news/teledyne-technologies-strategic-resilience-capitalizing-defense-energy-markets-tariff-uncertainty-2507/
Teledyne Technologies | +20% Energy Price | 2027 | 6,350,000,000 | 19 | Ongoing high energy prices, but margin impact limited by efficiency and scale. | https://www.ainvest.com/news/teledyne-technologies-strategic-resilience-capitalizing-defense-energy-markets-tariff-uncertainty-2507/
