Samsung Electronics | South Korea | High (US/EU/Japan controls on advanced AI chips, memory, and equipment; FDPR applies) | Medium (industrial price ~$0.11/kWh, grid: 60% coal/gas, 30% nuclear, 10% renewables; price volatility risk) | US/EU/Japan export controls restrict advanced chip and memory exports to China and other embargoed countries; energy cost moderately sensitive due to high grid fossil share and price volatility | https://www.csis.org/analysis/understanding-us-allies-current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
Accton Technology | Taiwan | High (same as TSMC; networking exports under US/EU/Japan controls) | Medium (same as TSMC) | Networking exports to China restricted; energy cost moderately sensitive | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
TP-Link Technologies | China | Very High (Entity List, US/EU/Japan controls, broad bans) | Medium (same as Lenovo) | Entity List, broad US/EU/Japan bans on advanced networking; energy cost moderately sensitive | https://www.csis.org/analysis/limits-chip-export-controls-meeting-china-challenge, https://www.china-briefing.com/news/chinas-industrial-power-rates-category-electricity-usage-region-classification/
GDS Holdings | China | Very High (Entity List, US/EU/Japan controls, broad bans) | Medium (same as Lenovo) | Entity List, broad US/EU/Japan bans on advanced data center/AI; energy cost moderately sensitive | https://www.csis.org/analysis/limits-chip-export-controls-meeting-china-challenge, https://www.china-briefing.com/news/chinas-industrial-power-rates-category-electricity-usage-region-classification/
Fujitsu Limited | Japan | Medium (US/EU controls, but Japan less exposed to China bans) | High (industrial price ~$0.18/kWh, grid: 65% fossil, 20% nuclear, 15% renewables) | US/EU controls on advanced exports; high energy cost exposure due to high prices and fossil share | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
Kaga Electronics | Japan | Medium (same as Fujitsu) | High (same as Fujitsu) | US/EU controls on advanced exports; high energy cost exposure | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
Toshiba Tec Corp | Japan | Medium (same as Fujitsu) | High (same as Fujitsu) | US/EU controls on advanced exports; high energy cost exposure | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
Mitsui High-tec | Japan | Medium (same as Fujitsu) | High (same as Fujitsu) | US/EU controls on advanced exports; high energy cost exposure | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
Renesas Electronics | Japan | Medium (same as Fujitsu) | High (same as Fujitsu) | US/EU controls on advanced exports; high energy cost exposure | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
Kioxia Holdings | Japan | Medium (same as Fujitsu) | High (same as Fujitsu) | US/EU controls on advanced exports; high energy cost exposure | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
EdgeCortix | Japan | Medium (same as Fujitsu) | High (same as Fujitsu) | US/EU controls on advanced exports; high energy cost exposure | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
Rapidus Corporation | Japan | Medium (same as Fujitsu) | High (same as Fujitsu) | US/EU controls on advanced exports; high energy cost exposure | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
NEC Corporation | Japan | Medium (same as Fujitsu) | High (same as Fujitsu) | US/EU controls on advanced exports; high energy cost exposure | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
Oki Electric Industry | Japan | Medium (same as Fujitsu) | High (same as Fujitsu) | US/EU controls on advanced exports; high energy cost exposure | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
Allied Telesis Holdings | Japan | Medium (same as Fujitsu) | High (same as Fujitsu) | US/EU controls on advanced exports; high energy cost exposure | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
Anritsu Corporation | Japan | Medium (same as Fujitsu) | High (same as Fujitsu) | US/EU controls on advanced exports; high energy cost exposure | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
SoftBank Group | Japan | Medium (same as Fujitsu) | High (same as Fujitsu) | US/EU controls on advanced exports; high energy cost exposure | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
E2E Networks | India | Low (no US/EU/Japan controls, but US FDPR may apply to some imports) | Medium (industrial price ~$0.10/kWh, grid: 70% coal, 20% renewables, 10% hydro/nuclear) | No direct export controls, but FDPR risk for US-origin tech; energy cost moderately sensitive, grid fossil-heavy | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
Tata Elxsi | India | Low (same as E2E) | Medium (same as E2E) | No direct export controls, but FDPR risk for US-origin tech; energy cost moderately sensitive | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
SPEL Semiconductor | India | Low (same as E2E) | Medium (same as E2E) | No direct export controls, but FDPR risk for US-origin tech; energy cost moderately sensitive | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
MosChip Technologies | India | Low (same as E2E) | Medium (same as E2E) | No direct export controls, but FDPR risk for US-origin tech; energy cost moderately sensitive | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
HCL Technologies | India | Low (same as E2E) | Medium (same as E2E) | No direct export controls, but FDPR risk for US-origin tech; energy cost moderately sensitive | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
VITROX Corporation | Malaysia | Medium (US controls on advanced AI chips, new Tier 2 status, FDPR risk) | Medium (industrial price ~$0.12/kWh, grid: 80% fossil, 20% renewables/hydro) | US controls on advanced AI chips, Tier 2 status; energy cost moderately sensitive | https://www.ainvest.com/news/ai-chip-export-curbs-navigating-geopolitical-risks-supply-chain-opportunities-southeast-asia-2507/, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
INARI Amertron | Malaysia | Medium (same as VITROX) | Medium (same as VITROX) | US controls on advanced AI chips, Tier 2 status; energy cost moderately sensitive | https://www.ainvest.com/news/ai-chip-export-curbs-navigating-geopolitical-risks-supply-chain-opportunities-southeast-asia-2507/, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
PIE Industrial | Malaysia | Medium (same as VITROX) | Medium (same as VITROX) | US controls on advanced AI chips, Tier 2 status; energy cost moderately sensitive | https://www.ainvest.com/news/ai-chip-export-curbs-navigating-geopolitical-risks-supply-chain-opportunities-southeast-asia-2507/, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
AEM Holdings | Singapore | Medium (US controls on advanced AI chips, FDPR risk) | High (industrial price ~$0.18/kWh, grid: 95% gas, 5% renewables) | US controls on advanced AI chips, FDPR risk; high energy cost exposure due to high prices and gas dependency | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
UMS Holdings | Singapore | Medium (same as AEM) | High (same as AEM) | US controls on advanced AI chips, FDPR risk; high energy cost exposure | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
Venture Corporation | Singapore | Medium (same as AEM) | High (same as AEM) | US controls on advanced AI chips, FDPR risk; high energy cost exposure | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
Frencken Group | Singapore | Medium (same as AEM) | High (same as AEM) | US controls on advanced AI chips, FDPR risk; high energy cost exposure | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
Chaintech Technology | Taiwan | High (same as TSMC) | Medium (same as TSMC) | Exports to China restricted; energy cost moderately sensitive | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
Realtek Semiconductor | Taiwan | High (same as TSMC) | Medium (same as TSMC) | Exports to China restricted; energy cost moderately sensitive | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
Delta Electronics | Taiwan | High (same as TSMC) | Medium (same as TSMC) | Exports to China restricted; energy cost moderately sensitive | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
Wistron Corporation | Taiwan | High (same as TSMC) | Medium (same as TSMC) | Exports to China restricted; energy cost moderately sensitive | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
Advantech Co. | Taiwan | High (same as TSMC) | Medium (same as TSMC) | Exports to China restricted; energy cost moderately sensitive | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
ASE Technology Holding | Taiwan | High (same as TSMC) | Medium (same as TSMC) | Exports to China restricted; energy cost moderately sensitive | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
King Yuan Electronics | Taiwan | High (same as TSMC) | Medium (same as TSMC) | Exports to China restricted; energy cost moderately sensitive | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
Neuchips | Taiwan | High (same as TSMC) | Medium (same as TSMC) | Exports to China restricted; energy cost moderately sensitive | https://www.csis.org/analysis/understanding-us-allies/current-legal-authority-implement-ai-and-semiconductor-export, https://www.statista.com/statistics/263492/electricity-prices-in-selected-countries/
