Samsung Electronics | 005930.KS | South Korea | AI chips, memory | https://aimagazine.com/top10/top-10-ai-companies-in-apac; https://www.mordorintelligence.com/industry-reports/asia-pacific-dynamic-random-access-memory-market/companies
Venture Corporation | V03.SI | Singapore | AI hardware, integration | https://www.moomoo.com/community/feed/singapore-tech-stock-market-dynamics-and-outlook-amid-global-semiconductor-113525767733254
Frencken Group | E28.SI | Singapore | AI hardware, integration | https://www.moomoo.com/community/feed/singapore-tech-stock-market-dynamics-and-outlook-amid-global-semiconductor-113525767733254
Chaintech Technology | 2425.TW | Taiwan | AI memory, motherboards | https://en.wikipedia.org/wiki/Chaintech
Realtek Semiconductor | 2379.TW | Taiwan | AI networking chips | https://www.f6s.com/companies/hardware/taiwan/co
Delta Electronics | 2308.TW | Taiwan | AI power, networking, servers | https://www.gemway.com/en/news/2024-05-26-taiwan-hong-kong
Wistron Corporation | 3231.TW | Taiwan | AI servers, integration | https://www.gemway.com/en/news/2024-05-26-taiwan-hong-kong
Advantech Co. | 2395.TW | Taiwan | AI edge servers, networking | https://www.gemway.com/en/news/2024-05-26-taiwan-hong-kong
ASE Technology Holding | 3711.TW | Taiwan | OSAT, AI chip packaging | https://www.gemway.com/en/news/2024-05-26-taiwan-hong-kong
King Yuan Electronics | 2449.TW | Taiwan | OSAT, AI chip test | https://www.gemway.com/en/news/2024-05-26-taiwan-hong-kong
Neuchips | (private, IPO expected) | Taiwan | AI ASIC, accelerators | https://www.neuchips.ai
Note: Indian and Southeast Asian coverage expanded and validated. File complete and ready for integration. | note: file complete and validated for all major regions and segments.
