Oracle Cloud Tokyo Region Data Center Campus | completed/expanding | Japan | Kanto | Tokyo | (site not specified) | 35.6895 | 139.6917 | Oracle Corporation Japan | Oracle | N/A | N/A | N/A | N/A | N/A | N/A | 2019 | 2024 (expansion) | https://www.oracle.com/news/announcement/oracle-to-invest-more-than-eight-billion-in-cloud-computing-and-ai-in-japan-2024-04-17/; https://www.datacenterplanet.com/news/cloud/oracle-opens-new-cloud-region-in-tokyo/
Digital Loyang II (SIN12) | Completed | Singapore | Singapore | Singapore | 11 Loyang Close, 506756 | 1.3631 | 103.9742 | Digital Realty | Digital Realty | Unknown | Unknown | 50 | 50 | 263 | 34,000 sqm (365,000 sqft) | 2018 | 2020 | https://www.digitalrealty.com/data-centers/asia-pacific/singapore/sin12; https://www.datacenterdynamics.com/en/news/digital-realty-announces-50mw-data-center-singapore/; https://www.datacentermap.com/singapore/singapore/digital-loyang-2/ecosystem/
Meta Singapore Data Center | Under Construction | Singapore | Singapore | Singapore | 30 Sunview Way, 628051 | 1.3371 | 103.6286 | Meta | Meta | Fortis Construction | Unknown | 174 | Unknown | 105 | 170,000 sqm (1,829,865 sqft) | 2018 | Unknown | https://engineering.fb.com/2019/01/14/data-center-engineering/singapore-data-center/; https://fortisconstruction.com/news/top-out-of-the-meta-singapore-data-center/; https://datacenters.atmeta.com/wp-content/uploads/2025/02/Meta_s-Singapore-Data-Center.pdf; https://www.datacentermap.com/singapore/singapore/meta-singapore-data-center/specs/
AirTrunk SGP2 | Completed | Singapore | Singapore | Singapore | 82 Genting Lane, 349567 | 1.32552 | 103.87656 | AirTrunk | AirTrunk | Unknown | Unknown | 70 | Unknown | Unknown | Unknown | 2023 | 2024 | https://airtrunk.com/location/singapore/; https://www.techstories.co/airtrunk-reveals-plans-for-70mw-singapore-data-centre/; https://www.capacitymedia.com/article-airtrunks-singapore-loan; https://www.datacentermap.com/singapore/singapore/keppel-dc-singapore-7-sgp7/; https://www.streetdirectory.com/sg/media-centre/82-genting-lane-349567/6190_44695.html
Digital Realty-Brookfield-Reliance MAA10 Chennai Campus | under construction | India | Tamil Nadu | Chennai (Ambattur) | Ambattur Industrial Estate, Chennai, Tamil Nadu (10-acre campus) |  |  | Digital Connexion (Digital Realty, Brookfield, Reliance Jio JV) | Digital Connexion | Not specified | Not specified | 100 (campus) | 100 | TBD | TBD | 2023 | 2025 (phased) | https://www.mingtiandi.com/real-estate/data-centres/digital-realty-brookfield-reliance-unveil-inaugural-india-data-centre-project/, https://www.datacenterdynamics.com/en/news/digital-realty-and-brookfield-break-ground-on-data-center-in-chennai-india/, https://www.prnewswire.com/in/news-releases/digital-realty-launches-maa10-data-center-in-chennai-sets-new-standards-for-indias-data-center-industry-302033510.html
Doma West Sydney Data Center | announced | Australia | New South Wales | Sydney | West Sydney (exact address TBD) |  |  | Doma Infrastructure Group | Doma Infrastructure Group | TBD | TBD | 50-60 | TBD | TBD | TBD | 2024 | TBD | https://www.datacenterdynamics.com/en/news/doma-announces-50mw-data-center-in-west-sydney-australia/
AirTrunk SYD1 | completed | Australia | New South Wales | Sydney | 2 Wonderland Dr, Eastern Creek NSW 2766 |  |  | AirTrunk | AirTrunk | TBD | TBD | 130+ | TBD | TBD | TBD | 2017 | TBD | https://airtrunk.com/location/australia/
AirTrunk MEL1 | completed | Australia | Victoria | Melbourne | 1-39 Western Ave, Westmeadows VIC 3049 |  |  | AirTrunk | AirTrunk | TBD | TBD | 110+ | TBD | TBD | TBD | 2019 | TBD | https://airtrunk.com/location/australia/
AWS Australia Expansion | planned | Australia | New South Wales, Victoria | Sydney, Melbourne | Multiple sites (exact addresses TBD) |  |  | Amazon Web Services | Amazon | Multiple | Multiple | 200+ (aggregate) | TBD | TBD | TBD | 2025 | 2029 | https://www.aboutamazon.com/news/aws/amazon-data-center-investment-in-australia; https://www.datacenterdynamics.com/en/news/amazon-plans-to-invest-13bn-in-data-centers-in-australia-by-2029/
NEXTDC S6 Sydney | under construction | Australia | New South Wales | Sydney | Artarmon, Sydney (exact address TBD) |  |  | NEXTDC | NEXTDC | TBD | TBD | TBD | TBD | TBD | TBD | 2024 | TBD | https://www.nextdc.com/data-centres/sydney-data-centres/s6-sydney
Stock Farm Road Jeollanam-do AI Data Center | planned | South Korea | Jeollanam-do | Guseong District, Sanim-myeon, Haenam-gun | Guseong-ri, Sanim-myeon, Haenam-gun, Jeollanam-do, South Korea (Solaseado development) | 34.7080 (approximate) | 126.4150 (approximate) | Stock Farm Road Inc. (Fir Hills), BADR Investments | Stock Farm Road Inc. (Fir Hills), BADR Investments | TBD (likely major Korean EPCs: Samsung C&T, Hyundai E&C, SK ecoplant, GS E&C, POSCO E&C) | Key vendors: To be determined (likely NVIDIA, Samsung, SK Hynix, HPE, etc.) | 3000 | TBD | TBD | TBD | 2025 (planned start) | 2028 (planned completion) | https://digitalisationworld.com/news/69408/3gw-mega-ai-data-centre-planned-for-south-korea-in-35bn-project; https://www.chosun.com/english/industry-en/2025/06/15/F35YN4FLE5AFLOPOU2VA44POCY/; https://heesight.com/entry/%ED%95%9C%EA%B5%AD-%EC%84%B8%EA%B3%84-%EC%B5%9C%EB%8C%80-%EA%B7%9C%EB%AA%A8-AI-%EB%8D%B0%EC%9D%B4%ED%84%B0-%EC%84%BC%ED%84%B0-%EA%B1%B4%EC%84%A4-%EA%B3%84%ED%9A%8D-%EB%B0%9C%ED%91%9C; https://www.artificialintelligence-news.com/news/south-korea-is-building-worlds-largest-ai-data-centre/; https://dpg.danawa.com/news/view?boardSeq=60&listSeq=5754068; https://solaseado.com/eng/about.php; https://www.gem.wiki/Solaseado_solar_farm
SK Group / AWS Ulsan AI Data Center | under construction (phase 1), planned (expansion) | South Korea | Ulsan | Ulsan Mipo National Industrial Complex | Mipo National Industrial Complex, Yongyeon-dong, Nam-gu, Ulsan 44784 | 35.527 | 129.408 | SK Telecom, SK Broadband, AWS | SK Group, AWS | Likely: SK ecoplant, Samsung C&T, Hyundai E&C, GS E&C | Key vendors: NVIDIA (GPUs), SK Hynix (memory), Samsung (semiconductors), AWS, others | 41 (phase 1, 2027), 103 (phase 2, 2029), up to 1000 (future) | TBD | 60,000 GPUs (planned) | TBD | 2025 (groundbreaking), 2027 (phase 1 complete), 2029 (phase 2 complete) | https://www.chosun.com/english/industry-en/2025/06/15/F35YN4FLE5AFLOPOU2VA44POCY/; https://news.sktelecom.com/213527; https://www.chosun.com/economy/industry-company/2025/06/15/6ZLUUFUNDBBJJOQOQKXPOLQ6FY/; https://www.datacenterdynamics.com/en/news/sk-group-and-aws-to-build-ai-data-center-in-ulsan-south-korea/; https://www.datacentermap.com/south-korea/ulsan/amazon-aws-ulsan/
Technology 1 Thomson Computing Korea (Yeongwol) | planned | South Korea | Gangwon | Yeongwol-gun | Yeongwol-gun mining site (precise site undisclosed) | 37.1836 (approximate) | 128.4618 (approximate) | Technology 1 Thomson Computing Korea (Metavisio Thomson Computing, BKB Energy) | Metavisio Thomson Computing, BKB Energy | TBD | TBD | 260 | TBD | TBD | TBD | 2025 (planned) | TBD | https://www.datacenterdynamics.com/en/news/260mw-data-center-proposed-in-south-korea/; https://www.datacentermap.com/south-korea/gangneung/technology-1-thomson-computing-korea/; https://gh.2markers.com/408074
LS Group / KEPCO Gapyeong Superconducting Data Center | planned | South Korea | Gyeonggi | Gapyeong | Gapyeong, Gyeonggi Province (precise site undisclosed) | 37.8310 (approximate) | 127.5106 (approximate) | LS Group, KEPCO | LS Cable, LS Electric, KEPCO | LS Cable, LS Electric | LS Cable, LS Electric | TBD | TBD | TBD | TBD | 2025 (planned) | 2028 (planned completion) | https://www.idcnova.com/html/1/59/153/3511.html; https://pulse.mk.co.kr/news/english/11365361; https://latitudelongitude.org/kr/gapyeong/
Incheon Airport AI Innovation Hub Hyperscale Data Center | planned | South Korea | Incheon | Incheon | Incheon International Airport, Jung-gu, Incheon | 37.4602 | 126.4407 | Incheon International Airport Corporation | Incheon International Airport Corporation | Samsung C&T (likely), others TBD | Key vendors: To be determined | 100 | TBD | TBD | TBD | 2024 (permit) | 2027 (planned completion) | https://www.khan.co.kr/article/202501082014005/
Incheon Bukhang (North Port) Hyperscale Data Center | planned | South Korea | Incheon | Incheon | Bukhang (North Port), Incheon | 37.4881 | 126.6056 | Incheon Port Authority | Incheon Port Authority | Samsung C&T (likely), others TBD | Key vendors: To be determined | 60 | TBD | TBD | TBD | 2024 (permit) | 2027 (planned completion) | http://acn.moneta.co.kr/Service/paxnet/ShellView.asp?LinkID=20&NewsSetID=2891&ModuleID=1476&ArticleID=2024122612545600316
