East Havering Data Centre Campus | Planned | United Kingdom | London | Havering | Corner of Fen Lane and Dunnings Lane, North Ockendon/Upminster | approx 51.5470 | approx 0.2660 | Digital Reef | Digital Reef | Unknown | Unknown | 600 | Unknown | Unknown | 3300000 | 2022 (proposal) | Unknown (pending planning approval) | https://www.easthaveringdatacentrecampus.com, https://www.digital-reef.io/digital-reef-projects, https://www.datacenterdynamics.com/en/news/175-hectare-600mw-data-center-campus-proposed-outside-london-in-havering/, https://democracy.havering.gov.uk/documents/s74215/EHDC%20May%20SPC%20Presentation%20-%20Digital%20Reef.pdf
Colt DCS Berlin 1 & 2 | planned | Germany | Berlin | East of Berlin | 10km east of Berlin | approx 52.520, 13.405 | approx | Colt Data Centre Services | Colt Data Centre Services | Unknown | Unknown | 54 | 54 | Unknown | Unknown | 2025 | 2028 | https://www.datacenterdynamics.com/en/news/colt-dcs-to-develop-four-more-data-centers-in-germany-totaling-117mw/; https://www.prnewswire.com/news-releases/colt-dcs-boosts-german-expansion-by-117mw-acquiring-land-and-securing-power-supply-contracts-for-new-sites-in-frankfurt-and-berlin-302421950.html
DATA CASTLE FRA1 Schwalbach | under construction | Germany | Hesse | Schwalbach (Frankfurt metro) | Kronberger Hang, Schwalbach | approx 50.150, 8.533 | approx | DATA CASTLE (DCD Data Center Developers, Angelo Gordon) | DCD Data Center Developers, Angelo Gordon | Unknown | Unknown | 18 | 18 | Unknown | 6500 sqm | 2023 | Unknown | https://data-castle.de/en/news.html; https://www.datacentermap.com/germany/frankfurt/datacastle-fra1/
DATA CASTLE Berlin-Spandau | planned | Germany | Berlin | Spandau | Spandau, Berlin | approx 52.551, 13.199 | approx | DATA CASTLE (DCD Data Center Developers, Angelo Gordon) | DCD Data Center Developers, Angelo Gordon | Unknown | Unknown | Unknown | Unknown | Unknown | Unknown | 2023 | Unknown | https://data-castle.de/en/news.html
Virtus Berlin Campus | under construction | Germany | Berlin | Marienpark, Berlin | Marienpark, Berlin | approx 52.430, 13.370 | approx | Virtus Data Centres | Virtus Data Centres | Unknown | DATA2HEAT (waste heat partner) | 57.6 | 57.6 | Unknown | 19,000 sqm | 2023 | Unknown | https://www.datacenterdynamics.com/en/news/virtus-breaks-ground-on-data-center-campus-in-berlin-germany/
SAP/Deutsche Telekom/Ionos/Schwarz AI Gigafactory | announced | Germany | Unknown | Unknown | Unknown | Unknown | Unknown | SAP, Deutsche Telekom, Ionos, Schwarz Group | Consortium | Unknown | Unknown | ~100+ | Unknown | Unknown | Unknown | 2025 | Unknown | https://www.datacenterdynamics.com/en/news/sap-dt-ionos-and-schwarz-partner-for-potential-ai-data-center-in-germany/; https://digitalinfranetwork.com/news/eu-ai-gigafactory/

Vantage DUB1 Campus | Under Construction | Ireland | Leinster | Dublin | Profile Park, Grange Castle, D22 X7R0 Ballybane | 53.3167 | -6.4375 | Vantage Data Centers | Vantage Data Centers | Unknown | Unknown | 52MW | 52MW | Unknown | 405,000 sqft | 2023 | 2025 | https://vantage-dc.com/news/vantage-data-centers-expands-emea-portfolio-with-first-dublin-campus-featuring-next-generation-energy-solution/, https://www.datacenterdynamics.com/en/news/vantage-plans-1bn-dublin-data-center-campus-in-ireland-with-on-site-power-generation/, https://vantage-dc.com/data-center-locations/emea/dublin-ireland, https://www.datacentermap.com/ireland/dublin/vantage-dub1-campus/
Echelon DUB20 | Under Construction | Ireland | Leinster | Arklow | Vale Rd, Avoka River Park, Y14 XR66 Arklow | 52.7930 | -6.1561 | Echelon Data Centres | Echelon Data Centres | Unknown | Unknown | 90MW (Phase 1, up to 204MW planned) | 90MW | Unknown | 484,000 sqft | 2021 | 2025 | https://www.datacentermap.com/ireland/dublin/echelon-dub20/, https://msp-channel.com/news/56381/planning-permission-granted-for-arklow-data-centre
Echelon DUB30 | Planned | Ireland | Leinster | Arklow | Kish Business Park, Y14 F306 Arklow | 52.8030 | -6.1700 | Echelon Data Centres | Echelon Data Centres | Unknown | Unknown | 90MW (Phase 1, up to 150MW planned) | 90MW | Unknown | 430,000 sqft | 2024 | 2026 | https://www.datacentermap.com/ireland/dublin/echelon-dub30/, https://www.ocolo.io/colocation/echelon-data-centres/arklow-dub30/
AWS Cruiserath Campus | Permitted (Appeal Pending) | Ireland | Leinster | Dublin | Cruiserath Road, Dublin 15 | 53.3980 | -6.3900 | Amazon Web Services | Universal Developers LLC | Unknown | Unknown | Unknown (3 buildings, 42,589 sqm total) | Unknown | Unknown | 458,424 sqft | 2023 | Unknown | https://bebeez.eu/2025/07/03/aws-says-planned-dublin-data-centers-will-have-no-significant-impact-on-climate/, https://www.irishtimes.com/business/technology/2023/07/05/aws-data-centre-plans-in-dublin-face-appeal/
EdgeConneX Dublin Campus | Permitted/Under Construction | Ireland | Leinster | Dublin | Newcastle Road, Ballmakaily, Lucan | 53.3550 | -6.4740 | EdgeConneX | EdgeConneX | Unknown | Unknown | 30MW (2x15MW, expandable to 170MW campus) | 30MW | Unknown | 161,500 sqft (2 buildings) | 2024 | 2026 | https://www.edgeconnex.com/locations/emea/dublin-ie/, https://www.hrawards.ie/news/ireland-clears-path-for-edgeconnex-data-centers-with-conditions-on-energy-use
PureDC Orion Campus | Under Construction | Ireland | Leinster | Dublin | Orion Business Campus, NW Business Park, D15 Ballycoolin | 53.3985 | -6.3740 | Pure Data Centres Group | Pure Data Centres Group | Unknown | Unknown | 50MW+ (3 buildings, 31,537 sqm total) | 50MW+ | Unknown | 339,461 sqft | 2024 | 2026 | https://www.datacentermap.com/ireland/dublin/puredc-orion-2/, https://www.datacentermap.com/ireland/dublin/puredc-orion-3/
Art Data Centres Ennis Campus | Permitted (Legal Challenge) | Ireland | Munster | Ennis | Tulla Road, Tooreen, Cahernalough, Knockanean, Ballymacahill, Muckinish, Rosslevan | 52.8470 | -8.9720 | Art Data Centres Ltd | Art Data Centres Ltd | Unknown | Unknown | 200MW | 200MW | Unknown | 1,300,000 sqft | 2024 | 2030 | https://planningpermissionireland.ie/blog/2024/04/09/ennis-data-centre-campus-e1-2-billion-project-approval-and-economic-boost/, https://www.roscommonherald.ie/planned-1-5bn-data-centre-in-ennis-at-risk-due-to-bureaucratic-inertia_arid-55194.html

Microsoft AMS13/14 | Under construction (AMS14), operational (AMS13) | Netherlands | Noord-Holland | Middenmeer | Cultuurweg 11, 1775 RA Middenmeer | 52.7892 | 5.0016 | Microsoft | Microsoft | Unknown | Vattenfall (energy), others unknown | Estimated campus 100MW+ (individual hall MW not public, but >50MW per hall likely) | Unknown | Unknown | 110,000 sqm (AMS13) | AMS13: 2014, AMS14: construction began ~2021, permitted 2023 | AMS13: 2014, AMS14: likely 2025 | https://www.datacenterdynamics.com/en/news/microsoft-gains-construction-permission-for-data-center-in-hollands-kroon/; https://www.datacentermap.com/the-netherlands/amsterdam/microsoft-middenmeer/specs/; https://globalflowcontrol.com/newsroom/microsoft-netherlands-data-center-expansion/
Google Eemshaven | Operational, expanding | Netherlands | Groningen | Eemshaven | Oostpolder 4, 9979 XT Eemshaven | 53.4431 | 6.8366 | Google | Google | Unknown | Wind farms in Delfzijl/Zeeland, Sunport solar | 200MW+ campus | Unknown | Unknown | Unknown | 2016 (original), expansions 2018, 2019 | Ongoing | https://www.datacenters.com/google-eemshaven-netherlands; https://datacenters.google/locations/eemshaven-netherlands-var/
Google Winschoten (Groningen) | Planned | Netherlands | Groningen | Winschoten | Hoogebrug 3, Winschoten | 53.1442 | 7.0362 | Google | Google | Unknown | Unknown | 65MW | Unknown | Unknown | Unknown | 2023 (permit) | Unknown | https://datacentremagazine.com/articles/google-purchases-20-hectares-for-new-netherlands-data-centre; https://www.datacenterdynamics.com/en/news/google-begins-work-on-groningen-data-center-in-the-netherlands/
Meta Zeewolde | Cancelled | Netherlands | Flevoland | Zeewolde | Trekkersveld IV, Zeewolde | 52.3242 | 5.5447 | Meta | Meta | Unknown | Unknown | 200MW (planned) | Unknown | Unknown | Unknown | N/A | N/A | https://www.datacenterdynamics.com/en/news/facebook-parent-meta-officially-kills-zeewolde-data-center-after-pushback-in-the-netherlands/; https://datacentremagazine.com/articles/meta-permanently-cancels-plans-to-build-zeewolde-data-centre
Oracle Cloud Amsterdam Region | Expansion planned/underway | Netherlands | Noord-Holland | Amsterdam | Unknown (existing Oracle Cloud Amsterdam Region) | Unknown | Unknown | Oracle | Oracle | Unknown | Unknown | Expansion to 50MW+ (AI/Cloud) | Unknown | Unknown | Unknown | 2025 (expansion announced) | Unknown | https://www.oracle.com/news/announcement/oracle-invests-one-billion-dollars-in-ai-and-cloud-infrastructure-2025-07-15/; https://www.dutchnews.nl/2025/07/oracle-to-invest-1-billion-in-dutch-cloud-and-ai-expansion/
Equinix Amsterdam (future nuclear-powered campus) | Announced/planning | Netherlands | Noord-Holland | Amsterdam | Unknown (multiple IBX sites, new nuclear-powered campus planned) | Unknown | Unknown | Equinix | Equinix | ULC-Energy (nuclear partner), Oklo, Radiant, Stellaria, Bloom Energy | ULC-Energy, Oklo, Radiant, Stellaria, Bloom Energy | Up to 250MW (future campus) | Unknown | Unknown | Unknown | 2025 (nuclear partnership announced) | Unknown | https://www.equinix.com/newsroom/press-releases/netherlands/2025/08/equinix-and-ulc-energy-collaborate-to-support-sustainable-ai-data-center-growth-in-the-netherlands-with-clean-nuclear-power

Data4 Paris-Saclay Campus Expansion | Announced/Under Construction | France | Île-de-France | Nozay | 3 Route de Marcoussis, 91620 Nozay | 48.6772 | 2.2362 | Data4 | Data4 (Brookfield) | Unknown | Unknown | 500+ (expanding to 1,200 by 2030) | Unknown | Unknown | 1,184,030 (110ha) | 2024 | 2029+ | https://datacentremagazine.com/top10/top-10-biggest-data-centre-projects; https://www.data4group.com/en/data-center-in-paris-france/; https://www.datacentermap.com/france/paris/data4-paris-par1/
MGX-Bpifrance-Mistral AI-NVIDIA Paris AI Campus | Announced/Planned | France | Île-de-France | Paris region (exact site TBA) | TBA | TBA | TBA | Joint Venture (MGX, Bpifrance, Mistral AI, NVIDIA) | MGX, Bpifrance, Mistral AI, NVIDIA | Bouygues (ecosystem), EDF, RTE, Sipartech | NVIDIA, others | 1,400 | Unknown | Unknown | Unknown | 2026 (planned start) | 2028 (planned completion) | https://www.polytechnique.edu/en/press-room/press-releases/mgx-bpifrance-mistral-ai-and-nvidia-launch-joint-venture-build-europes-largest-ai-campus-france; https://www.datacenterdynamics.com/en/news/mgx-bpifrance-nvidia-and-mistral-ai-plan-14gw-paris-data-center-campus/
Eclairion Bruyères-le-Châtel AI Data Center (Mistral AI) | Completed/Expanding | France | Île-de-France | Bruyères-le-Châtel | Rue de la Libération & Rue de la Piquetterie, 91680 Bruyères-le-Châtel | 48.5706 | 2.1967 | Eclairion (HPC Group) | Eclairion | Unknown | Fluidstack, Tikehau Capital | 60 (expandable) | 40 (current) | Unknown | Unknown (4ha site) | 2024 | Ongoing | https://www.datacenterdynamics.com/en/news/french-data-center-firm-eclairion-raises-50m-hosts-mistral-ai-cluster/; https://www.datacentermap.com/france/paris/eclairion-bruyeres-le-chtel/
Brookfield/Data4 1GW AI Data Center Expansion (Multiple Sites) | Announced/Planned | France | Multiple regions | Multiple cities (TBA) | TBA | TBA | TBA | Data4 (Brookfield) | Data4 | Unknown | Unknown | 1,000 (additional, on top of existing) | Unknown | Unknown | Unknown | 2025 | 2030 | https://www.datacenterdynamics.com/en/news/brookfield-and-data4-to-spend-20bn-on-ai-infrastructure-in-france/; https://digitalinfranetwork.com/news/brookfield-ai-investment-france/
Prologis Paris Region Data Center Projects (4 sites) | Announced/Planned | France | Île-de-France | Paris region (sites TBA) | TBA | TBA | TBA | Prologis | Prologis | Unknown | Unknown | 584 (total across 4 sites) | Unknown | Unknown | Unknown | 2025 | 2035 | https://www.datacenterdynamics.com/en/news/prologis-to-develop-four-data-center-sites-in-paris-france/; https://cityramag.fr/choose-france-prologis-annonce-quatre-projets-de-centres-de-donnees-en-region-parisienne/
Thésée DataCenter Campus | Completed/Operational | France | Île-de-France | Aubergenville | TDC01, 64,500 sqft, Aubergenville | 48.9567 | 1.8572 | Thésée DataCenter | Thésée DataCenter | Unknown | Unknown | 50+ (campus, scalable) | Unknown | Unknown | 64,500+ | 2021 | Ongoing | https://baxtel.com/data-center/thesee-aubergenville; https://thesee-datacenter.com/datacenters/; https://www.datacenterdynamics.com/en/news/th%C3%A9s%C3%A9e-project-gets-backing-for-frances-first-tier-iv-facility/
