# Aggregated 50MW+ AI Datacenter Projects Worldwide (Master List)
# Format: project_name | status | country | region | city | site_address | latitude | longitude | operator | developer | builder | vendors | capacity_mw | it_load_mw | racks | sqft | start_date | completion_date | sources

# Americas (from project_universe_americas.txt)
Wonder Valley AI Data Centre Industrial Park | Announced | Canada | Alberta | Greenview | Greenview Industrial Gateway, near Grande Prairie | 55.1875 | -117.2481 | O'Leary Ventures | O'Leary Ventures | TBD | TBD | 7000 | TBD | TBD | 7000 acres | 2024-12-09 | 2030+ (phased) | https://www.datacentreassociation.ca/project-tracker, https://www.prnewswire.com/news-releases/kevin-oleary-in-cooperation-with-the-municipal-district-of-greenview-to-develop-the-worlds-largest-ai-data-centre-industrial-park-wonder-valley-in-the-greenview-industrial-gateway-gig-near-grande-prairie-in-north-west-albe-302326230.html, https://mdgreenview.ab.ca/media-release-worlds-largest-ai-data-centre-industrial-park-wonder-valley-coming-to-the-greenview-industrial-gateway/
Layer 9 Project Falcon | under construction | Mexico | Guanajuato | Apaseo el Grande (Celaya area) | Parque Industrial Amistad Chuy María, 38194 Guanajuato | 20.5211 | -100.8036 | Layer 9 Data Centers | Layer 9 Data Centers | Amistad Industrial Developers, RINA Consulting | Unknown | 96 | 96 | Unknown | 796,529 | 2022-10 | 2024-12 | https://layer9dc.com/layer-9-data-centers-breaks-ground-on-96mw-campus-in-guanajuato-mexico/, https://www.datacentermap.com/mexico/celaya/layer-9-project-falcon/, https://www.solili.mx/noticias/layer-9-invertira-800-mdd-para-construccion-del-data-center-mas-grande-de-mexico/5357/?lang=en
ODATA QR04 | completed | Mexico | Querétaro | San Miguel de Allende (Querétaro region) | Near San Miguel de Allende, Querétaro | approx 20.9140 | approx -100.7430 | ODATA (Aligned Data Centers) | ODATA (Aligned Data Centers) | Unknown | Unknown | 50+ | 50+ | Unknown | Unknown | 2025-05 | 2025-08 | https://odatacolocation.com/en/blog/imprensa/odata-expands-digital-infrastructure-with-fourth-hyperscale-data-center-in-mexico/, https://www.capacitymedia.com/article-odata-opens-fourth-hyperscale-data-centre-in-mexico
OpenAI Stargate Argentina | planned | Argentina | Patagonia | TBD | TBD |  |  | OpenAI, Sur Energy, unnamed global cloud provider | OpenAI, Sur Energy | TBD | TBD | 500 | TBD | TBD | TBD | 2025 | TBD | https://www.bnamericas.com/en/features/argentina-joins-openais-stargate-project-with-a-500mw-megadata-center; https://www.batimes.com.ar/news/economy/openai-sur-energy-to-build-massive-ai-data-centre-in-patagonia.phtml; https://ground.news/article/openai-sur-energy-weigh-25-billion-argentina-data-center-project_19a895
Google Uruguay Data Center (Project Teros) | under construction | Uruguay | Canelones | Parque de las Ciencias | Parque de las Ciencias, Canelones, Uruguay |  |  | Google | Google | TBD | TBD | >50 | TBD | TBD | TBD | 2024 | TBD | https://blog.google/around-the-globe/google-latin-america/a-new-data-center-in-latin-america/; https://www.datacenterdynamics.com/en/news/google-confirms-construction-of-data-center-in-uruguay/; https://www.datacenterdynamics.com/en/news/google-breaks-ground-on-uruguay-data-center/; https://nearshoreamericas.com/uruguay-greenlights-google-data-center-project/; https://inspenet.com/en/noticias/google-data-center-in-uruguay-advances/
Meta Hyperion AI Campus | under construction | US | South | Richland Parish | Richland Parish, Louisiana | [pending] | [pending] | Meta | Meta | [pending] | [pending] | 5000 | [pending] | [pending] | [pending] | 2025 | 2030 | https://techcrunch.com/2025/07/14/mark-zuckerberg-says-meta-is-building-a-5gw-ai-data-center/, https://www.datacenterfrontier.com/hyperscale/article/55310441/ownership-and-power-challenges-in-metas-hyperion-and-prometheus-data-centers
Meta Prometheus AI Supercluster | planned | US | Midwest | New Albany | New Albany, Ohio | [pending] | [pending] | Meta | Meta | [pending] | [pending] | 1000 | [pending] | [pending] | [pending] | 2024 | 2026 | https://www.theneuron.ai/explainer-articles/metas-building-ai-data-centers-the-size-of-manhattan-and-they-might-just-break-the-power-grid, https://www.datacenterfrontier.com/hyperscale/article/55310441/ownership-and-power-challenges-in-metas-hyperion-and-prometheus-data-centers
Microsoft Fairwater AI Datacenter | under construction | US | Midwest | Mount Pleasant | Mount Pleasant, Wisconsin | [pending] | [pending] | Microsoft | Microsoft | [pending] | [pending] | 1000 | [pending] | [pending] | [pending] | 2024 | [pending] | https://blogs.microsoft.com/blog/2025/09/18/inside-the-worlds-most-powerful-ai-datacenter/, https://www.datacenterknowledge.com/data-center-construction/new-data-center-developments-january-2025
Amazon AWS AI Innovation Campus PA | planned | US | Northeast | Salem Township | Salem Township, Pennsylvania | [pending] | [pending] | Amazon AWS | Amazon AWS | [pending] | [pending] | 1000 | [pending] | [pending] | [pending] | 2025 | [pending] | https://www.datacenterfrontier.com/hyperscale/article/55295967/amazon-doubles-down-on-ai-infrastructure-with-30b-in-new-us-data-center-investments, https://www.datacenters.com/news/amazon-s-20b-nuclear-powered-data-center-initiative-in-pennsylvania
Amazon AWS AI Innovation Campus NC | planned | US | South | Richmond County | Richmond County, North Carolina | [pending] | [pending] | Amazon AWS | Amazon AWS | [pending] | [pending] | 500 | [pending] | [pending] | [pending] | 2025 | [pending] | https://www.datacenterfrontier.com/hyperscale/article/55295967/amazon-doubles-down-on-ai-infrastructure-with-30b-in-new-us-data-center-investments
Google Kansas City AI Data Center Campus | under construction | US | Midwest | Kansas City | Kansas City, Missouri | [pending] | [pending] | Google | Google | [pending] | [pending] | 1000 | [pending] | [pending] | [pending] | 2024 | [pending] | https://www.crn.com/news/cloud/2024/google-pours-billions-into-new-u-s-data-centers-here-s-where
CoreWeave Lancaster AI Data Center | planned | US | Northeast | Lancaster County | Lancaster County, Pennsylvania | [pending] | [pending] | CoreWeave | CoreWeave | [pending] | [pending] | 100 | [pending] | [pending] | [pending] | 2025 | [pending] | https://www.rcrwireless.com/20250716/ai-infrastructure/coreweave-ai-data, https://www.turnerconstruction.com/insights/coreweave-announces-multi-billion-dollar-commitment-to-ai-infrastructure-in-pennsylvania
Stargate Abilene AI Campus | under construction | US | South | Abilene | Abilene, Texas | [pending] | [pending] | Stargate (OpenAI/Oracle/SoftBank) | Stargate LLC | [pending] | NVIDIA, Oracle | 1000 | [pending] | [pending] | [pending] | 2025 | [pending] | https://openai.com/index/announcing-the-stargate-project/, https://openai.com/index/five-new-stargate-sites/
QTS Fayetteville DC9-10 Hyperscale | under construction | US | South | Fayetteville | Fayetteville, Georgia | [pending] | [pending] | QTS | QTS | [pending] | [pending] | 340 | [pending] | [pending] | [pending] | 2024 | [pending] | https://www.proximoinfra.com/news/67041/qts-closes-on-hyperscale-data-centre-construction-facility

# APAC (from project_universe_apac.txt)
Oracle Cloud Tokyo Region Data Center Campus | completed/expanding | Japan | Kanto | Tokyo | (site not specified) | 35.6895 | 139.6917 | Oracle Corporation Japan | Oracle | N/A | N/A | N/A | N/A | N/A | N/A | 2019 | 2024 (expansion) | https://www.oracle.com/news/announcement/oracle-to-invest-more-than-eight-billion-in-cloud-computing-and-ai-in-japan-2024-04-17/; https://www.datacenterplanet.com/news/cloud/oracle-opens-new-cloud-region-in-tokyo/
Oracle Cloud Osaka Region Data Center Campus | completed/expanding | Japan | Kansai | Osaka | (site not specified) | 34.6937 | 135.5023 | Oracle Corporation Japan | Oracle | N/A | N/A | N/A | N/A | N/A | N/A | 2020 | 2024 (expansion) | https://www.oracle.com/news/announcement/oracle-to-invest-more-than-eight-billion-in-cloud-computing-and-ai-in-japan-2024-04-17/; https://www.datacenters.com/oracle-japan-central-ap-osaka-1/
Hokkaido Tomakomai AI Data Center (SoftBank) | under construction | Japan | Hokkaido | Tomakomai | 49-85 Kashiwahara, 059-1362 Tomakomai, Hokkaido | 42.6347 | 141.6031 | SoftBank, IDC Frontier | SoftBank | N/A | N/A | 300 | 50 (phase 1) | N/A | 7,500,000 | 2025 | 2026 (phase 1), 2030+ (full build) | https://www.softbank.jp/en/sbnews/entry/20250501_01; https://w.media/softbank-breaks-ground-for-ai-data-center-in-hokkaido/; https://www.datacenterdynamics.com/en/news/softbank-breaks-ground-on-data-center-campus-in-hokkaido-japan/; https://www.datacentermap.com/japan/sapporo/softbank-hokkaido-data-center/; https://thetechcapital.com/softbank-breaks-ground-on-300mw-ai-data-centre-in-hokkaido/
MC Digital Realty NRT Campus (NRT10/12/14) | completed/under construction/planned | Japan | Kanto | Inzai, Chiba | 2-9 Otsuka, Inzai-city, Chiba 270-1352 | 35.7972 | 140.0997 | MC Digital Realty (Mitsubishi Corporation & Digital Realty JV) | MC Digital Realty | N/A | N/A | 73 (NRT10+NRT12), 31 (NRT14 planned) | up to 70kW/rack | N/A | 296,000 (NRT12), 124,180 (NRT10) | 2019 | 2025 (NRT14) | https://www.digitalrealty.com/data-centers/asia-pacific/tokyo/nrt10; https://www.datacenterdynamics.com/en/news/digital-realty-and-mitsubishi-open-34mw-data-center-in-inzai-city-japan/; https://www.datacenterdynamics.com/en/news/digital-realty-breaks-ground-on-31mw-inzai-data-center-in-japan/; https://www.mingtiandi.com/real-estate/data-centres/mitsubishi-digital-realty-jv-adds-34mw-data-centre-to-greater-tokyo-campus/
MC Digital Realty KIX Campus (KIX13) | completed | Japan | Kansai | Minoh, Osaka | 5-2-1 Saitoaokita, Minoh City, Osaka 562-0029 | 34.8850 | 135.5330 | MC Digital Realty (Mitsubishi Corporation & Digital Realty JV) | MC Digital Realty | N/A | N/A | 21 | N/A | N/A | 250,000 | 2023 | 2023 | https://www.digitalrealty.com/data-centers/asia-pacific/osaka/kix13; https://www.datacenterdynamics.com/en/news/mitsubishi-digital-realty-jv-launches-new-data-center-in-osaka-japan/; https://www.datacentermap.com/japan/osaka/digital-realty-osaka-kix13/
Keppel DC Tokyo 2 | under construction | Japan | Kanto | Sagamihara, Tokyo | 4-chome-2 Hashimotodai, Sagamihara, 252-0132 | 35.5931 | 139.3736 | Keppel Data Centres | Mitsui Fudosan (core & shell), Keppel (fit-out) | Mitsui Fudosan (core & shell), Keppel (fit-out) | N/A | 50+ | N/A | N/A | 300,000 | 2024 | 2027 | https://www.keppel.com/media/keppel-secures-ai-ready-hyperscale-data-centre-project-in-japan-from-mitsui-fudosan/; https://www.datacenterdynamics.com/en/news/keppel-acquires-data-center-development-project-in-tokyo-japan/; https://www.datacentermap.com/japan/tokyo/keppel-tokyo-data-centre-2/
CapitaLand Osaka Data Center | planned | Japan | Kansai | Osaka | 1-chome-1 Saitohanada, 567-0082 Osaka | 34.8222 | 135.5681 | CapitaLand Investment Limited | CapitaLand | N/A | N/A | 50 | N/A | N/A | N/A | 2025 | 2027 | https://www.datacenterdynamics.com/en/news/capitaland-plans-50mw-data-center-in-osaka-japan/; https://www.datacentermap.com/japan/osaka/capitaland-osaka/; https://connectcx.ai/capitalands-700m-leap-establishing-a-50mw-ai-ready-data-hub-in-osaka/
Jingxi Zhigu AI Computing Center | completed | China | Beijing | Beijing | - | - | - | Jingxi Zhigu | - | - | - | - | - | - | - | - | 2023 | https://www.bita.org.cn/newsinfo/7238012.html
Beijing Ascend AI Computing Center | completed | China | Beijing | Beijing | Zhongguancun Mentougou Park | - | - | - | - | - | - | - | - | - | - | 2023 | https://idcdaohang.com/industry/5731.html
Shanghai Supercomputing Center (Shanghai AI Public Computing Service Platform) | operational | China | Shanghai | Shanghai | - | - | - | - | - | - | - | - | - | - | - | - | 2023 | https://www.bita.org.cn/newsinfo/7238012.html
Tencent Yangtze River Delta AI Advanced Computing Center | operational | China | Shanghai | Shanghai | - | - | - | Tencent | - | - | - | - | - | - | - | - | 2023 | https://www.bita.org.cn/newsinfo/7238012.html
Alibaba Cloud East China Intelligent Computing Center | operational | China | Shanghai | Shanghai | - | - | - | Alibaba Cloud | - | - | - | - | - | - | - | - | 2023 | https://www.bita.org.cn/newsinfo/7238012.html
SenseTime AI Computing Center | operational | China | Shanghai | Shanghai | - | - | - | SenseTime | - | - | - | - | - | - | - | - | 2023 | https://www.bita.org.cn/newsinfo/7238012.html
UCloud Lingang Cloud Data Center | operational | China | Shanghai | Shanghai | - | - | - | UCloud | - | - | - | - | - | - | - | - | 2023 | https://www.bita.org.cn/newsinfo/7238012.html
China Mobile Yangtze River Delta (Yangzhou) Data Center | under construction | China | Jiangsu | Yangzhou | Yizheng | - | - | China Mobile | - | - | - | - | - | 25600 | 240000 | 2023 | - | http://china.idcdaohang.com/news/351.html
Tenglong Bay Area Data Center | completed | China | Guangdong | Foshan | Xiqiao Town, Nanhai District | - | - | Tenglong | - | - | - | - | - | 5000 | 57000 | 2023 | 2023-07 | http://www.inherodata.com/detail.php?id=195
Heying Data (Huailai) Technology Industrial Park | completed | China | Hebei | Zhangjiakou | Huailai | - | - | Heying Data | - | - | - | - | - | 1000000 | - | 2023 | 2023 | https://idcdaohang.com/industry/5731.html
Hebei AI Computing Center | completed | China | Hebei | Langfang | Langfang Development Zone | - | - | - | - | - | - | - | - | 12000 | 2023 | 2023-03 | http://www.inherodata.com/detail.php?id=195
Keppel Data Center Shanghai Qingpu Project | under construction | China | Shanghai | Shanghai | Songying Road, Zhaoxiang Town, Qingpu District | - | - | Keppel | - | - | - | - | - | 30000 | 22226 | 2023 | - | http://www.inherodata.com/detail.php?id=195
China Telecom Anhui AI Computing Center | operational | China | Anhui | Hefei | - | - | - | China Telecom | - | - | - | - | - | 16000 | - | 2022 | - | https://finance.sina.cn/2023-05-15/detail-imytwaaw0513682.d.html
China Mobile Guiyang-Gui'an Data Center | operational | China | Guizhou | Guiyang | - | - | - | China Mobile | - | - | - | - | - | 20000 | - | 2022 | - | https://finance.sina.cn/2023-05-15/detail-imytwaaw0513682.d.html
China Telecom Inner Mongolia Information Park A5 Data Center | operational | China | Inner Mongolia | Hohhot | - | - | - | China Telecom | - | - | - | - | - | 72900 | 1006000 | - | - | https://finance.sina.cn/2023-05-15/detail-imytwaaw0513682.d.html
China Unicom Huailai Big Data Innovation Industrial Park | operational | China | Hebei | Zhangjiakou | Huailai | - | - | China Unicom | - | - | - | - | - | 85000 | - | - | - | https://sjzyj.wuhu.gov.cn/xwzx/bmyw/8587150.html
China Telecom Qingyang Cloud Computing Big Data Center | operational | China | Gansu | Qingyang | - | - | - | China Telecom | - | - | - | - | - | 22500 | - | - | - | https://sjzyj.wuhu.gov.cn/xwzx/bmyw/8587150.html
Digital Loyang II (SIN12) | Completed | Singapore | Singapore | Singapore | 11 Loyang Close, 506756 | 1.3631 | 103.9742 | Digital Realty | Digital Realty | Unknown | Unknown | 50 | 50 | Unknown | 34,000 sqm (365,000 sqft) | 2018 | 2020 | https://www.digitalrealty.com/data-centers/asia-pacific/singapore/sin12; https://www.datacenterdynamics.com/en/news/digital-realty-announces-50mw-data-center-singapore/; https://www.datacenterplanet.com/data-center/digital-realty-powers-its-50mw-singapore-data-center/; https://www.power-technology.com/marketdata/loyang-sin12-data-center-project-singapore/
Equinix SG6 | Under Construction | Singapore | Singapore | Singapore | Jalan Tukang, 000000 | 1.32669 | 103.714756 | Equinix | Equinix | Unknown | Unknown | 20 | Unknown | Unknown | 13,000 sqm | 2024 | 2027 | https://www.equinix.com/newsroom/press-releases/2024/11/equinix-to-help-accelerate-ai-innovation-in-singapore-with-us-260-million-data-center-expansion; https://w.media/equinix-announces-its-highly-sustainable-sg6-data-center/; https://www.datacentermap.com/singapore/singapore/equinix-sg6/specs/; https://www.findlatitudeandlongitude.com/l/Jalan+Tukang+Singapore/557593/
Meta Singapore Data Center | Under Construction | Singapore | Singapore | Singapore | 30 Sunview Way, 628051 | 1.3371 | 103.6286 | Meta | Meta | Fortis Construction | Unknown | 174 | Unknown | Unknown | 170,000 sqm (1,829,865 sqft) | 2018 | Unknown | https://engineering.fb.com/2019/01/14/data-center-engineering/singapore-data-center/; https://fortisconstruction.com/news/top-out-of-the-meta-singapore-data-center/; https://www.datacentermap.com/singapore/singapore/meta-singapore-data-center/; https://datacenters.atmeta.com/all-locations/; https://datacenters.atmeta.com/wp-content/uploads/2025/02/Meta_s-Singapore-Data-Center.pdf
Digital Realty-Brookfield-Reliance MAA10 Chennai Campus | under construction | India | Tamil Nadu | Chennai (Ambattur) | Ambattur Industrial Estate, Chennai, Tamil Nadu (10-acre campus) |  |  | Digital Connexion (Digital Realty, Brookfield, Reliance Jio JV) | Digital Connexion | Not specified | Not specified | 100 (campus) | 100 | TBD | TBD | 2023 | 2025 (phased) | https://www.mingtiandi.com/real-estate/data-centres/digital-realty-brookfield-reliance-unveil-inaugural-india-data-centre-project/, https://www.datacenterdynamics.com/en/news/digital-realty-and-brookfield-break-ground-on-data-center-in-chennai-india/, https://www.prnewswire.com/in/news-releases/digital-realty-launches-maa10-data-center-in-chennai-sets-new-standards-for-indias-data-center-industry-302033510.html
Doma West Sydney Data Center | announced | Australia | New South Wales | Sydney | West Sydney (exact address TBD) |  |  | Doma Infrastructure Group | Doma Infrastructure Group | TBD | TBD | 50-60 | TBD | TBD | TBD | 2024 | TBD | https://www.datacenterdynamics.com/en/news/doma-announces-50mw-data-center-in-west-sydney-australia/
AirTrunk SYD1 | completed | Australia | New South Wales | Sydney | 2 Wonderland Dr, Eastern Creek NSW 2766 |  |  | AirTrunk | AirTrunk | TBD | TBD | 130+ | TBD | TBD | TBD | 2017 | TBD | https://airtrunk.com/location/australia/
AirTrunk MEL1 | completed | Australia | Victoria | Melbourne | 1-39 Western Ave, Westmeadows VIC 3049 |  |  | AirTrunk | AirTrunk | TBD | TBD | 110+ | TBD | TBD | TBD | 2019 | TBD | https://airtrunk.com/location/australia/
AWS Australia Expansion | planned | Australia | New South Wales, Victoria | Sydney, Melbourne | Multiple sites (exact addresses TBD) |  |  | Amazon Web Services | Amazon | Multiple | Multiple | 200+ (aggregate) | TBD | TBD | TBD | 2025 | 2029 | https://www.aboutamazon.com/news/aws/amazon-data-center-investment-in-australia; https://www.datacenterdynamics.com/en/news/amazon-plans-to-invest-13bn-in-data-centers-in-australia-by-2029/
NEXTDC S6 Sydney | under construction | Australia | New South Wales | Sydney | Artarmon, Sydney (exact address TBD) |  |  | NEXTDC | NEXTDC | TBD | TBD | TBD | TBD | TBD | TBD | 2024 | TBD | https://www.nextdc.com/data-centres/sydney-data-centres/s6-sydney
Stock Farm Road Jeollanam-do AI Data Center | planned | South Korea | Jeollanam-do | Guseong District, Sanim-myeon, Haenam-gun | Guseong-ri, Sanim-myeon, Haenam-gun, Jeollanam-do, South Korea (Solaseado development) | 34.7080 (approximate) | 126.4150 (approximate) | Stock Farm Road Inc. (Fir Hills), BADR Investments | Stock Farm Road Inc. (Fir Hills), BADR Investments | TBD (likely major Korean EPCs: Samsung C&T, Hyundai E&C, SK ecoplant, GS E&C, POSCO E&C) | Key vendors: To be determined (likely NVIDIA, Samsung, SK Hynix, HPE, etc.) | 3000 | TBD | TBD | TBD | 2025 (planned start) | 2028 (planned completion) | https://digitalisationworld.com/news/69408/3gw-mega-ai-data-centre-planned-for-south-korea-in-35bn-project; https://www.chosun.com/english/industry-en/2025/06/15/F35YN4FLE5AFLOPOU2VA44POCY/; https://heesight.com/entry/%ED%95%9C%EA%B5%AD-%EC%84%B8%EA%B3%84-%EC%B5%9C%EB%8C%80-%EA%B7%9C%EB%AA%A8-AI-%EB%8D%B0%EC%9D%B4%ED%84%B0-%EC%84%BC%ED%84%B0-%EA%B1%B4%EC%84%A4-%EA%B3%84%ED%9A%8D-%EB%B0%9C%ED%91%9C; https://www.artificialintelligence-news.com/news/south-korea-is-building-worlds-largest-ai-data-centre/; https://dpg.danawa.com/news/view?boardSeq=60&listSeq=5754068; https://solaseado.com/eng/about.php; https://www.gem.wiki/Solaseado_solar_farm
SK Group / AWS Ulsan AI Data Center | under construction (phase 1), planned (expansion) | South Korea | Ulsan | Ulsan Mipo National Industrial Complex | Mipo National Industrial Complex, Yongyeon-dong, Nam-gu, Ulsan 44784 | 35.527 | 129.408 | SK Telecom, SK Broadband, AWS | SK Group, AWS | Likely: SK ecoplant, Samsung C&T, Hyundai E&C, GS E&C | Key vendors: NVIDIA (GPUs), SK Hynix (memory), Samsung (semiconductors), AWS, others | 41 (phase 1, 2027), 103 (phase 2, 2029), up to 1000 (future) | TBD | 60,000 GPUs (planned) | TBD | 2025 (groundbreaking), 2027 (phase 1 complete), 2029 (phase 2 complete) | https://www.chosun.com/english/industry-en/2025/06/15/F35YN4FLE5AFLOPOU2VA44POCY/; https://news.sktelecom.com/213527; https://www.chosun.com/economy/industry-company/2025/06/15/6ZLUUFUNDBBJJOQOQKXPOLQ6FY/; https://www.datacenterdynamics.com/en/news/sk-group-and-aws-to-build-ai-data-center-in-ulsan-south-korea/; https://www.datacentermap.com/south-korea/ulsan/amazon-aws-ulsan/
Technology 1 Thomson Computing Korea (Yeongwol) | planned | South Korea | Gangwon | Yeongwol-gun | Yeongwol-gun mining site (precise site undisclosed) | 37.1836 (approximate) | 128.4618 (approximate) | Technology 1 Thomson Computing Korea (Metavisio Thomson Computing, BKB Energy) | Metavisio Thomson Computing, BKB Energy | TBD | TBD | 260 | TBD | TBD | TBD | 2025 (planned) | TBD | https://www.datacenterdynamics.com/en/news/260mw-data-center-proposed-in-south-korea/; https://www.datacentermap.com/south-korea/gangneung/technology-1-thomson-computing-korea/; https://gh.2markers.com/408074
LS Group / KEPCO Gapyeong Superconducting Data Center | planned | South Korea | Gyeonggi | Gapyeong | Gapyeong, Gyeonggi Province (precise site undisclosed) | 37.8310 (approximate) | 127.5106 (approximate) | LS Group, KEPCO | LS Cable, LS Electric, KEPCO | LS Cable, LS Electric | LS Cable, LS Electric | TBD | TBD | TBD | TBD | 2025 (planned) | 2028 (planned completion) | https://www.idcnova.com/html/1/59/153/3511.html; https://pulse.mk.co.kr/news/english/11365361; https://latitudelongitude.org/kr/gapyeong/
