# Aggregated 50MW+ AI Datacenter Projects in the Americas
# Format: project_name | status | country | region | city | site_address | latitude | longitude | operator | developer | builder | vendors | capacity_mw | it_load_mw | racks | sqft | start_date | completion_date | sources

# Canada
Wonder Valley AI Data Centre Industrial Park | Announced | Canada | Alberta | Greenview | Greenview Industrial Gateway, near Grande Prairie | 55.1875 | -117.2481 | O'Leary Ventures | O'Leary Ventures | TBD | TBD | 7000 | TBD | TBD | 7000 acres | 2024-12-09 | 2030+ (phased) | https://www.datacentreassociation.ca/project-tracker, https://www.prnewswire.com/news-releases/kevin-oleary-in-cooperation-with-the-municipal-district-of-greenview-to-develop-the-worlds-largest-ai-data-centre-industrial-park-wonder-valley-in-the-greenview-industrial-gateway-gig-near-grande-prairie-in-north-west-albe-302326230.html, https://mdgreenview.ab.ca/media-release-worlds-largest-ai-data-centre-industrial-park-wonder-valley-coming-to-the-greenview-industrial-gateway/

# Mexico
ODATA DC QR03 | completed | Mexico | Querétaro | Santiago de Querétaro | Carretera Estatal 431 - Los Cues km.5.8, Parque Industrial PyME, 76246 Santiago de Querétaro | 20.6275 | -100.2867 | ODATA (Aligned Data Centers) | ODATA (Aligned Data Centers) | Unknown | Aligned (cooling), Ammper (energy), others | 300 | 300 | ~6000 | 2,960,075 | 2023-10 | 2025-04 | https://odatacolocation.com/en/blog/imprensa/odata-announces-the-launch-of-its-largest-data-center-in-mexico-with-300mw-of-it-capacity/, https://www.datacenterdynamics.com/en/news/odata-launches-first-phase-of-300mw-mexican-data-center/, https://odatacolocation.com/en/blog/data-center/dc-qr03/, https://www.datacentermap.com/mexico/queretaro/odata-qr03/
AWS Mexico (Central) Region | completed | Mexico | Querétaro | Querétaro | Multiple sites, Querétaro (exact not public) | approx 20.5888 | approx -100.3899 | Amazon Web Services (AWS) | AWS | Unknown | Unknown | 50+ | 50+ | Unknown | Unknown | 2024-01 | 2025-01 | https://aws.amazon.com/blogs/aws/now-open-aws-mexico-central-region/, https://www.datacenterdynamics.com/en/news/aws-launches-5bn-cloud-region-in-mexico/, https://aztecreports.com/amazon-announces-5b-investment-to-build-data-center-in-mexico/4383/
Microsoft Mexico Central | completed | Mexico | Querétaro | Querétaro | Multiple sites, Querétaro (exact not public) | approx 20.5888 | approx -100.3899 | Microsoft | Microsoft | Unknown | Unknown | 50+ | 50+ | Unknown | Unknown | 2023 | 2024 | https://news.microsoft.com/es-xl/microsoft-launches-its-first-hyper-scale-cloud-datacenter-region-in-mexico/, https://www.datacenters.com/microsoft-azure-mexico-central
Layer 9 Project Falcon | under construction | Mexico | Guanajuato | Apaseo el Grande (Celaya area) | Parque Industrial Amistad Chuy María, 38194 Guanajuato | 20.5211 | -100.8036 | Layer 9 Data Centers | Layer 9 Data Centers | Amistad Industrial Developers, RINA Consulting | Unknown | 96 | 96 | Unknown | 796,529 | 2022-10 | 2024-12 | https://layer9dc.com/layer-9-data-centers-breaks-ground-on-96mw-campus-in-guanajuato-mexico/, https://www.datacentermap.com/mexico/celaya/layer-9-project-falcon/, https://www.solili.mx/noticias/layer-9-invertira-800-mdd-para-construccion-del-data-center-mas-grande-de-mexico/5357/?lang=en
ODATA QR04 | completed | Mexico | Querétaro | San Miguel de Allende (Querétaro region) | Near San Miguel de Allende, Querétaro | approx 20.9140 | approx -100.7430 | ODATA (Aligned Data Centers) | ODATA (Aligned Data Centers) | Unknown | Unknown | 50+ | 50+ | Unknown | Unknown | 2025-05 | 2025-08 | https://odatacolocation.com/en/blog/imprensa/odata-expands-digital-infrastructure-with-fourth-hyperscale-data-center-in-mexico/, https://www.capacitymedia.com/article-odata-opens-fourth-hyperscale-data-centre-in-mexico

# LatAm/Caribbean
OpenAI Stargate Argentina | planned | Argentina | Patagonia | TBD | TBD |  |  | OpenAI, Sur Energy, unnamed global cloud provider | OpenAI, Sur Energy | TBD | TBD | 500 | TBD | TBD | TBD | 2025 | TBD | https://www.bnamericas.com/en/features/argentina-joins-openais-stargate-project-with-a-500mw-megadata-center; https://www.batimes.com.ar/news/economy/openai-sur-energy-to-build-massive-ai-data-centre-in-patagonia.phtml; https://ground.news/article/openai-sur-energy-weigh-25-billion-argentina-data-center-project_19a895
Google Uruguay Data Center (Project Teros) | under construction | Uruguay | Canelones | Parque de las Ciencias | Parque de las Ciencias, Canelones, Uruguay |  |  | Google | Google | TBD | TBD | >50 | TBD | TBD | TBD | 2024 | TBD | https://blog.google/around-the-globe/google-latin-america/a-new-data-center-in-latin-america/; https://www.datacenterdynamics.com/en/news/google-confirms-construction-of-data-center-in-uruguay/; https://www.datacenterdynamics.com/en/news/google-breaks-ground-on-uruguay-data-center/; https://nearshoreamericas.com/uruguay-greenlights-google-data-center-project/; https://inspenet.com/en/noticias/google-data-center-in-uruguay-advances/

# US
Meta Hyperion AI Campus | under construction | US | South | Richland Parish | Richland Parish, Louisiana | [pending] | [pending] | Meta | Meta | [pending] | [pending] | 5000 | [pending] | [pending] | [pending] | 2025 | 2030 | https://techcrunch.com/2025/07/14/mark-zuckerberg-says-meta-is-building-a-5gw-ai-data-center/, https://www.datacenterfrontier.com/hyperscale/article/55310441/ownership-and-power-challenges-in-metas-hyperion-and-prometheus-data-centers
Meta Prometheus AI Supercluster | planned | US | Midwest | New Albany | New Albany, Ohio | [pending] | [pending] | Meta | Meta | [pending] | [pending] | 1000 | [pending] | [pending] | [pending] | 2024 | 2026 | https://www.theneuron.ai/explainer-articles/metas-building-ai-data-centers-the-size-of-manhattan-and-they-might-just-break-the-power-grid, https://www.datacenterfrontier.com/hyperscale/article/55310441/ownership-and-power-challenges-in-metas-hyperion-and-prometheus-data-centers
Microsoft Fairwater AI Datacenter | under construction | US | Midwest | Mount Pleasant | Mount Pleasant, Wisconsin | [pending] | [pending] | Microsoft | Microsoft | [pending] | [pending] | 1000 | [pending] | [pending] | [pending] | 2024 | [pending] | https://blogs.microsoft.com/blog/2025/09/18/inside-the-worlds-most-powerful-ai-datacenter/, https://www.datacenterknowledge.com/data-center-construction/new-data-center-developments-january-2025
Amazon AWS AI Innovation Campus PA | planned | US | Northeast | Salem Township | Salem Township, Pennsylvania | [pending] | [pending] | Amazon AWS | Amazon AWS | [pending] | [pending] | 1000 | [pending] | [pending] | [pending] | 2025 | [pending] | https://www.datacenterfrontier.com/hyperscale/article/55295967/amazon-doubles-down-on-ai-infrastructure-with-30b-in-new-us-data-center-investments, https://www.datacenters.com/news/amazon-s-20b-nuclear-powered-data-center-initiative-in-pennsylvania
Amazon AWS AI Innovation Campus NC | planned | US | South | Richmond County | Richmond County, North Carolina | [pending] | [pending] | Amazon AWS | Amazon AWS | [pending] | [pending] | 500 | [pending] | [pending] | [pending] | 2025 | [pending] | https://www.datacenterfrontier.com/hyperscale/article/55295967/amazon-doubles-down-on-ai-infrastructure-with-30b-in-new-us-data-center-investments
Google Kansas City AI Data Center Campus | under construction | US | Midwest | Kansas City | Kansas City, Missouri | [pending] | [pending] | Google | Google | [pending] | [pending] | 1000 | [pending] | [pending] | [pending] | 2024 | [pending] | https://www.crn.com/news/cloud/2024/google-pours-billions-into-new-u-s-data-centers-here-s-where
CoreWeave Lancaster AI Data Center | planned | US | Northeast | Lancaster County | Lancaster County, Pennsylvania | [pending] | [pending] | CoreWeave | CoreWeave | [pending] | [pending] | 100 | [pending] | [pending] | [pending] | 2025 | [pending] | https://www.rcrwireless.com/20250716/ai-infrastructure/coreweave-ai-data, https://www.turnerconstruction.com/insights/coreweave-announces-multi-billion-dollar-commitment-to-ai-infrastructure-in-pennsylvania
Stargate Abilene AI Campus | under construction | US | South | Abilene | Abilene, Texas | [pending] | [pending] | Stargate (OpenAI/Oracle/SoftBank) | Stargate LLC | [pending] | NVIDIA, Oracle | 1000 | [pending] | [pending] | [pending] | 2025 | [pending] | https://openai.com/index/announcing-the-stargate-project/, https://openai.com/index/five-new-stargate-sites/
QTS Fayetteville DC9-10 Hyperscale | under construction | US | South | Fayetteville | Fayetteville, Georgia | [pending] | [pending] | QTS | QTS | [pending] | [pending] | 340 | [pending] | [pending] | [pending] | 2024 | [pending] | https://www.proximoinfra.com/news/67041/qts-closes-on-hyperscale-data-centre-construction-facility
